                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.523,                 3.7473,                 1.8796,                  0.004,                0.90843,                0.05486,                0.02855,                0.89873,                  3.996,                 1.7651,              3.636e-05,              3.636e-05,              3.636e-05
                      2,                 1.1964,                 3.5715,                 1.5932,                0.00474,                0.96236,                0.13405,                0.09262,                0.78218,                 3.9377,                 1.5707,              7.911e-05,              7.911e-05,              7.911e-05
                      3,                0.96369,                 3.4354,                 1.4451,                0.00573,                      1,                0.20156,                0.15134,                 0.6544,                 3.8499,                 1.3324,             0.00011886,             0.00011886,             0.00011886
                      4,                0.92569,                 3.2037,                 1.3104,                0.00641,                      1,                0.21951,                0.16507,                0.66017,                 3.7843,                 1.2925,             0.00015561,             0.00015561,             0.00015561
                      5,                0.87989,                 3.0318,                 1.3014,                0.00698,                      1,                 0.2361,                0.18082,                 0.6868,                 3.6491,                 1.3086,             0.00018936,             0.00018936,             0.00018936
                      6,                0.89648,                 2.9198,                 1.2827,                0.00773,                      1,                0.24232,                 0.1881,                0.64929,                 3.5606,                 1.2565,             0.00022011,             0.00022011,             0.00022011
                      7,                0.85422,                 2.8889,                 1.3106,                0.27509,                0.69584,                0.31656,                0.25278,                0.68391,                 3.3891,                 1.2503,             0.00024787,             0.00024787,             0.00024787
                      8,                0.89567,                 2.6347,                 1.3261,                0.90264,                0.13203,                0.35798,                0.28616,                0.71944,                 3.1353,                 1.3006,             0.00027262,             0.00027262,             0.00027262
                      9,                0.92425,                 2.4528,                 1.2837,                0.67529,                0.22852,                0.41604,                0.32626,                0.80071,                 2.9693,                 1.4472,             0.00029437,             0.00029437,             0.00029437
                     10,                0.87819,                 2.3307,                 1.2829,                0.69121,                0.26132,                0.45026,                0.35191,                0.80487,                 2.9208,                 1.4358,             0.00031312,             0.00031312,             0.00031312
                     11,                  0.856,                 2.2722,                 1.2626,                0.36916,                0.37561,                0.51505,                0.41256,                0.77951,                 2.7074,                 1.4186,             0.00032888,             0.00032888,             0.00032888
                     12,                0.84242,                 2.1254,                 1.2912,                0.39944,                0.59253,                0.52682,                0.43519,                0.77198,                 2.4152,                 1.4105,             0.00034163,             0.00034163,             0.00034163
                     13,                0.82352,                 1.9595,                 1.1933,                0.45373,                 0.5837,                0.55131,                0.44204,                0.79023,                 2.4442,                 1.4189,             0.00035138,             0.00035138,             0.00035138
                     14,                0.77592,                 1.8995,                 1.2198,                0.47921,                  0.583,                0.59545,                0.47664,                0.80464,                 2.4238,                  1.453,             0.00035814,             0.00035814,             0.00035814
                     15,                0.78176,                 1.8597,                 1.2538,                0.62527,                0.60228,                 0.6768,                0.56278,                0.71581,                 2.1637,                 1.3134,             0.00036189,             0.00036189,             0.00036189
                     16,                0.79374,                 1.7083,                 1.2186,                0.66741,                0.61562,                0.70574,                0.59359,                0.69452,                  2.058,                 1.2816,             0.00036265,             0.00036265,             0.00036265
                     17,                0.78447,                 1.7198,                 1.2248,                0.79347,                0.63989,                0.73306,                0.61505,                0.68119,                 1.9658,                 1.2634,              0.0003604,              0.0003604,              0.0003604
                     18,                0.85543,                 1.6908,                 1.2306,                0.79217,                 0.6788,                 0.7704,                0.64682,                0.68051,                 1.8782,                 1.2543,             0.00035516,             0.00035516,             0.00035516
                     19,                0.77967,                 1.6066,                 1.2255,                0.76657,                0.72253,                0.79378,                0.66623,                0.65506,                 1.7795,                 1.2345,             0.00034691,             0.00034691,             0.00034691
                     20,                0.75081,                 1.4855,                  1.228,                0.60806,                 0.8876,                0.84376,                0.68197,                0.77336,                 1.9203,                 1.3572,             0.00033567,             0.00033567,             0.00033567
                     21,                0.69023,                 2.0524,                 1.2782,                0.72845,                0.86683,                0.87921,                0.71244,                 0.7784,                  1.715,                 1.3552,             0.00030906,             0.00030906,             0.00030906
                     22,                0.72159,                 1.7998,                  1.275,                0.85501,                 0.8391,                0.90279,                0.74832,                0.71699,                 1.6763,                 1.2883,             0.00027906,             0.00027906,             0.00027906
                     23,                 0.6756,                 1.8087,                 1.2294,                0.87945,                0.86456,                0.92703,                0.78093,                0.66952,                 1.7664,                 1.2349,             0.00024907,             0.00024907,             0.00024907
                     24,                 0.6017,                 1.9459,                 1.1862,                0.87332,                0.87611,                0.94333,                0.80153,                0.65243,                 1.7257,                 1.2203,             0.00021907,             0.00021907,             0.00021907
                     25,                0.60104,                 1.7594,                 1.1612,                0.89014,                0.87448,                0.94939,                0.81049,                0.63857,                 1.6189,                 1.2046,             0.00018907,             0.00018907,             0.00018907
                     26,                 0.5716,                 1.6658,                 1.1104,                0.90653,                0.87514,                0.96226,                0.82897,                 0.6208,                 1.5197,                 1.1835,             0.00015907,             0.00015907,             0.00015907
                     27,                0.54362,                 1.6405,                 1.0986,                0.90624,                0.93795,                0.97725,                 0.8406,                0.59516,                 1.4534,                 1.1549,             0.00012908,             0.00012908,             0.00012908
                     28,                0.57017,                 1.6556,                  1.134,                0.92393,                0.99652,                0.99024,                0.85795,                0.56081,                 1.3891,                 1.1215,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     29,                0.54637,                  1.491,                 1.0882,                0.92887,                      1,                0.99024,                0.85705,                0.55101,                 1.3672,                 1.1115,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     30,                0.54932,                 1.4138,                 1.0696,                0.97134,                 0.9967,                  0.995,                0.86507,                 0.5413,                 1.3476,                 1.1033,             3.9087e-05,             3.9087e-05,             3.9087e-05
